NODE;SCENARIO;TECHNOLOGY;YEAR;MIN CAPACITY [MW];MAX CAPACITY [MW]
ITS1;National Trends;Nuclear;2040;0;0
ITS1;National Trends;Nuclear;2045;0;0
ITS1;National Trends;Nuclear;2050;0;0
ITSA;National Trends;Nuclear;2030;0;0
ITSA;National Trends;Nuclear;2035;0;0
ITSA;National Trends;Nuclear;2040;0;0
ITSA;National Trends;Nuclear;2045;0;0
ITSA;National Trends;Nuclear;2050;0;0
ITSI;National Trends;Nuclear;2030;0;0
ITSI;National Trends;Nuclear;2035;0;0
ITSI;National Trends;Nuclear;2040;0;0
ITSI;National Trends;Nuclear;2045;0;0
ITSI;National Trends;Nuclear;2050;0;0
LT00;National Trends;Nuclear;2030;0;0
LT00;National Trends;Nuclear;2035;0;0
LT00;National Trends;Nuclear;2040;0;0
LT00;National Trends;Nuclear;2045;0;0
LT00;National Trends;Nuclear;2050;0;0
LUB1;National Trends;Nuclear;2030;0;0
LUB1;National Trends;Nuclear;2035;0;0
LUB1;National Trends;Nuclear;2040;0;0
LUB1;National Trends;Nuclear;2045;0;0
LUB1;National Trends;Nuclear;2050;0;0
LUF1;National Trends;Nuclear;2030;0;0
LUF1;National Trends;Nuclear;2035;0;0
LUF1;National Trends;Nuclear;2040;0;0
LUF1;National Trends;Nuclear;2045;0;0
LUF1;National Trends;Nuclear;2050;0;0
LUG1;National Trends;Nuclear;2030;0;0
LUG1;National Trends;Nuclear;2035;0;0
LUG1;National Trends;Nuclear;2040;0;0
LUG1;National Trends;Nuclear;2045;0;0
LUG1;National Trends;Nuclear;2050;0;0
LUV1;National Trends;Nuclear;2030;0;0
LUV1;National Trends;Nuclear;2035;0;0
LUV1;National Trends;Nuclear;2040;0;0
LUV1;National Trends;Nuclear;2045;0;0
LUV1;National Trends;Nuclear;2050;0;0
LV00;National Trends;Nuclear;2030;0;0
LV00;National Trends;Nuclear;2035;0;0
LV00;National Trends;Nuclear;2040;0;0
LV00;National Trends;Nuclear;2045;0;0
LV00;National Trends;Nuclear;2050;0;0
ME00;National Trends;Nuclear;2030;0;0
ME00;National Trends;Nuclear;2035;0;0
ME00;National Trends;Nuclear;2040;0;0
ME00;National Trends;Nuclear;2045;0;0
ME00;National Trends;Nuclear;2050;0;0
MK00;National Trends;Nuclear;2030;0;0
MK00;National Trends;Nuclear;2035;0;0
MK00;National Trends;Nuclear;2040;0;0
