ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;SO2 (degree of desulphuring, additional to existing plant) [];;;[A, F, G];8;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;SO2 (degree of desulphuring, additional to existing plant) [];;;[A, F, G];8;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;ctrl;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;lower;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;upper;2020;8506,981744
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Fixed O&M (*total, additional to existing plant) [EUR/MW_e/y];EUR/MW_e/y;2020;[A, B, F];7;upper;2050;0
