Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;PS Closed;Market;1,287187842;Austria;CY1995;TWh
2030;National Trends;PS Closed;Market;1,287187842;Austria;CY2008;TWh
2030;National Trends;PS Closed;Market;1,287187842;Austria;CY2009;TWh
2030;National Trends;PS Closed;Market;4,116656403;Belgium;CY1995;TWh
2030;National Trends;PS Closed;Market;4,116656403;Belgium;CY2008;TWh
2030;National Trends;PS Closed;Market;4,116656403;Belgium;CY2009;TWh
2030;National Trends;PS Closed;Market;0,969568243;Bulgaria;CY1995;TWh
2030;National Trends;PS Closed;Market;0,969568243;Bulgaria;CY2008;TWh
2030;National Trends;PS Closed;Market;0,969568243;Bulgaria;CY2009;TWh
2030;National Trends;PS Closed;Market;1,524182839;Czech Republic;CY1995;TWh
2030;National Trends;PS Closed;Market;1,524182839;Czech Republic;CY2008;TWh
2030;National Trends;PS Closed;Market;1,524182839;Czech Republic;CY2009;TWh
2030;National Trends;PS Closed;Market;5,432034951;France;CY1995;TWh
2030;National Trends;PS Closed;Market;5,432034951;France;CY2008;TWh
2030;National Trends;PS Closed;Market;5,432034951;France;CY2009;TWh
2030;National Trends;PS Closed;Market;28,70281458;Germany;CY1995;TWh
2030;National Trends;PS Closed;Market;28,70281458;Germany;CY2008;TWh
2030;National Trends;PS Closed;Market;28,70281458;Germany;CY2009;TWh
2030;National Trends;PS Closed;Market;0,799783306;Greece;CY1995;TWh
2030;National Trends;PS Closed;Market;0,799783306;Greece;CY2008;TWh
2030;National Trends;PS Closed;Market;0,799783306;Greece;CY2009;TWh
2030;National Trends;PS Closed;Market;1,414401988;Ireland;CY1995;TWh
2030;National Trends;PS Closed;Market;1,414401988;Ireland;CY2008;TWh
2030;National Trends;PS Closed;Market;1,414401988;Ireland;CY2009;TWh
2030;National Trends;PS Closed;Market;2,464875043;Israel;CY1995;TWh
2030;National Trends;PS Closed;Market;2,464875043;Israel;CY2008;TWh
2030;National Trends;PS Closed;Market;2,464875043;Israel;CY2009;TWh
