Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Gas;Gas conventional;1,17;Israel;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;4,2;Israel;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;49,59338429;Israel;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,001319995;Israel;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;2,71323704;Israel;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;11,54;Israel;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;1,17;Israel;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;4,2;Israel;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;49,59338429;Israel;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,001319995;Israel;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;2,71323704;Israel;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;11,54;Israel;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;1,17;Israel;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;4,2;Israel;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;77,5336183;Italy;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,004800699;Italy;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;38,628295;Italy;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;3,28338;Italy;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;4,319688;Italy;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;77,5336183;Italy;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,004800699;Italy;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;38,628295;Italy;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;3,28338;Italy;CY2008;Installed Capacity;GW
